sentiment,content
sadness,bI want to buy this great album but unfortunately i dont hav enuff funds  its quotlong time noisyquot
sadness,b  in all honestypain   blech
sadness,bOk  the passengers  no one is alive  theyre all dead  you just dont know it til the end  then you cry 
neutral,bAt home alone with not much to do
worry,b ia so much i havent really been happy with any of cooks choices for singles
sadness,b   i fell asleep on the beach and didnt put on enough sunscreen  lol
worry,bSo i think my son might have the flu cause I def just cleaned up a stanky puke mess  Poor pumkpin
happiness,bSo great to see Oin amp Cynthia  So happy  Dinner was great cute little place  Too bad Oin got sick afterwards
neutral,bI cant give  any bday nudges
worry,band all woman who transfer their first impressions sexualmaternal onto a less threatening man  are themselves as weak as Him
neutral,bBrothers Bloom wont be opening this weekend in El Paso  Ill just buy Brick and enjoy that until I can watch Brothers Bloom
neutral,bsays I miss plurking  
worry,bBitten to blood by my cat on my way for a rabies bacterin Seems  shots for  months Never wash my cats at home again they hate water
neutral,bI miss Voobys
neutral,b Neither are ELP
happiness,b  dude that is my favorite sandwich place ever ummm did you take PICTURES
worry,bis sad that shin ae got marriedand it wasnt to alex
worry,b Sure you will tweet about this when youre back but news is abuzz about TR Knights leaving quotconfirmedquot today  Muy triste
sadness,b ohh thursday i have exams all day  what about wednesday 
neutral,bthere was a mix up with my dentist appt this afternoon so they rescheduled me for tomorrow  am
sadness,b  i was just thinking about how excited i am for you guys to move but then i realized how sad i am to see you go
worry,bgoooood mooorning people sun is out definitly spring now we had our first spring hail storm my car has dimples now
sadness,b I love those itsakey USB sticks We only have the GB in Australia
worry,bfresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw
hate,bdammit hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers so i cant watch and code
worry,b i am jealous of your mom talking to  i want to see you all our twittering is making me miss you
worry,bI cant sleepI keep thinking about the puppy I played with today
worry,b Im suppposed to be sleep But i got some much to do amp i got that one part of the song stuck in my head quotyour a jerk iknowquot  blaahh
neutral,b whats going on sweetheart
neutral,bHow can it be so freaking difficult to get a systemwide spellchecker Shit Id settle for an office suite one Stupid unhelpful Windows
worry,bLast one month due to summer strawberry is not availble in the Chennai markets
neutral,b work at am Gotta go to bed soon
love,b correct I ADORE him I just plucked him up and put him under my arm cuz he was cryin  All better now Hahaha
sadness,b hiii im on my ipodi cant fall asleep
sadness,bdont wanna work  tomorrow  but i get paid
sadness,bfeels sad coz i wasnt able to play with the guys  
neutral,bPrinceCharming
hate,b cayogial i wanted to come to BZ this summer  not so sure anymore a teachers life in the summer SUCKS
worry,bFirst ever dropped call on my mobile On a call to  no less  being charged for data even though I have a data pack  
hate,b You win  SIGH Rakeem
neutral,bOh is that time for real
sadness,bDarn these allergies I dont like this time of year because of this I never used to have this problem either
worry,bOh no one minute too late Oh well
hate,b Damn that sucks
sadness,b i wanted to come to BZ this summer  not so sure anymore a teachers life in the summer SUCKS
hate,b THIS WEBSITE GAVE ME A VIRUS When i opened it more windows kept POPPING up
worry,bahh big scary bug flying around my room
sadness,bI wish she knew what she puts me throughShe stole my heart never gave it backand occasionally she likes to be like look what I have
worry,bis up with a nasty cough i cant be sick i have a huge weekend ahead of me
neutral,b  That was stone cold   Crazy  
boredom,bim so tired
neutral,bshift time  bbye biochem waaaaahhhhhh 
neutral,b Im sure some will cum out and play Im workin through til midnight
neutral,b I second that I wish it rained more where I am
sadness,b early happy day of birth in case I dont make it Very tired from therapy today n just taking my medicine  misshu Love ya
neutral,bdamn it were is Eric or anyone else when you need your hair to be played with
neutral,bIm feel deflated Ugh No more dog
sadness,bAllergies suck ducks nuts     lt
neutral,bWell it almost was a good day Guess I just retry tomorrow
hate,b Waraku is tasteless and expensive Portion is so little  re waraku
love,b sounds good Appreciate the suggestion Been a week now and were still offline  Time to ask for a refund
worry,b He died  Wait what about Magic Jack I just read it
hate,b  youstinkatrespondingtotexts
sadness,bwonders why her Karma points turned into   
happiness,bNeed to pack for CALI CALI Cannot waittt Thinking a glass of wine is in order to celebrate my weekend vaca Still work morrow tho
sadness,bIs miserable  i feel like im gona cry  sux
neutral,b well I ran out of beer so I left Not sure about the ETA Waiting waiting waiting Bleh  Gonna be a long nite methinks
worry,b My nose stud fell out and I cant find it  Looks like Ill have to head into Amsterdam today and get a new one
neutral,bclaire  love the show got into the office  am and no radio
love,bPats in philly at  am I love it Mmm cheesesteak  Miss my boyfriend   but I love vacation
sadness,bsigh Im going to bed I just dont feel right anymore
neutral,bWhat I focused on Tom so much I didnt see my beloved Barack Oh no I must vote for both Poor president only has  votes
neutral,b EpiCentre Wheelock Place  tourists only
sadness,bNow I am depressed after watching so you think you can dance
sadness,bJust cross cause Im stuck twiddling my thumbs now ugh
neutral,bmiss th
neutral,b I know But like I said I have no idea how long it takes for them to investigate this stuff
worry,bI cant sleep but im too sore to move
neutral,b   Awe I miss my baby
neutral,bwhat is it with chocolates i just can never say no
worry,bAchieving a new appreciation on how a xml build script can really be painful and cumbersome
neutral,b im too awake now  ill have a nap this afternoon
worry,b i cant do anything
neutral,bstill needs another  hours of sleep
relief,bIm at work
fun,bRIP leonardo You were a great mini fiddler crab
neutral,bMorning tweepleway to early again
sadness,bLast day working for the Uni today sad times
love,b thanks neemah Im gonna be soooo close to you and izzy yet so far
worry,bMy head hurts so bad I could scream
worry,bi just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain
worry,bNew work wellness challenge not going well  I committed to not check email between  pm and  am  Failed on first day  Twice
worry,bNew blog post Blog auto insuran I just found that my auto insurance policy had been expired  I am too careless    Meanw 
neutral,bwhere are all ma bestfriends at   MIA or wat 
worry,boh menI really cant see my facecmon guys
worry,bIm showing my age Renewed my tags last week went down  Got my insurance renewal email today went down  I dont wanna be old
worry,bmy sole supporter is not my sole supporter
hate,bdont you hate it when you finish all your work and theres still  hours left of work time
worry,b urgh stop it guys
sadness,bis still missing her husband    I really want him home
sadness,bI miss my puppy
surprise,b days of this month left and I only have MB left on my onpeak downloads
fun,b Up is out  I didnt get the memo   It looks amazing
sadness,b Ive given up on pizza  kids would never let me have my fav  the hot ones
worry,bUp reading tabloids about other peoples livesthinking what Im gonna do with mine when my baby leaves
sadness,b yearling in pet home died very sad for their whole family
neutral,bfun in the sun hmmm hell no its cold
worry,bI got a giant splinter stuck up underneath my finger nail today at Muppetsit hurt  But I got to go to First Aid for the first time
sadness,b We hate change so of course Were fans for life lt Oh and if we havent met Rob by then something went horribly wrong
worry,bis feeling sad for some reason  
sadness,bwell fuck this new pain med has an odd warning that actually applies to me i cant take this chan is displeased
sadness,bjust uploaded my new blog a painful story about an s year old man who cried because he wanted to die very sad
neutral,b i dont think so  I WANT DETAILS
neutral,b Hi Who is Mary Poppins
worry,b Its so addicting but its kind of a curse to do them at night time Everytime i do one i feel like making music afterwards
neutral,bmy last tweet didnt send  bad phone
fun,b  OMG Ur alive LOL  day has gone sooo slow  Im going insane Grrr You doing anything tonight
neutral,b  I was watching Parental Control
fun,b did you get them from california vintage ahahah they have the BEST dresses i want them but i dont have ebay
sadness,bI just saw pics from this past Thanksgiving and am sad because Grandma was in them
worry,b it wont let me
sadness,bTook a shift tomorrow    I dont really feel like working right now
sadness,bbut now i have no money for a phone
worry,bSpent last night in AampE ER Wife tangled wheels with Daughter amp hit the deck Dislocation amp fracture resulted
worry,b  days  Im about ready to visit Torchwood and see if theyve heard anything
surprise,b where are you In Bris I cant hear any thunder
surprise,bbec vs fat food    winner  fat food  but not this weeknend ill beat it
sadness,bToo bad the Red Devils disappointing to say the least
surprise,bI had a dream about a pretty pretty beach and there was no beach when I woke up
sadness,b Have a ware SE not fast enough for x XM SSD RAID Mhz IOP on the HPT Might try an Adaptec  Ghz
surprise,bwhen da heck will the garage man get here I ask you WHEN
worry,bAte Mandy please forgive me I really am sorry I dont wanna lose my Bff
hate,b Umm yeah Thats probably a pretty good note to self because eeeeee
worry,bwhy are plane tickets so expensive
fun,b  Umm yeah Thats probably a pretty good note to self because eeeeee
worry,bNeeds a job BADLY
sadness,b daaammmnnnnn I do wish I was there
worry,bWent to Di Bella coffee roasters today and asked for a job   The person I needed to speak to is on holiday  fb
sadness,b I played up until the latter parts of the voodoo village part coop until I lost my usual partner
sadness,bis a bad friend
neutral,b happy birthdayyy hope you have an awesome day didnt see you at next last night
hate,b im doing that shit right now  im on vacation and you got me workin
neutral,b ill be over in an oir
neutral,b guess its a no go girlie Im still at the gym and work at am
hate,bwould wish the severe migrains would stop docs prescriptions arent working
love,b i missed the game
sadness,b No internet last night ER was brill there was a massive explosion at the end of a nearby gas works ER on standby
hate,b cuz airlines are super lame
sadness,b  Still a pity it comes with no lamb though
sadness,b  Im sorry to hear that Here is my optimist Things will get better For all of us
relief,bis done painting all the bedroom furniture I still have to do the table but it will wait until after the move Uggh moving in the heat
hate,bIm so very tiredand have insomnia
neutral,b A hungry fool Ill probably never see that Krispy Kreme again Had to enjoy it They closing down
neutral,b airport and you didnt show up tonight homo
hate,bI hate Bakersfield and I hate the Ports let me go home already  I want to start my vacation
neutral,b what about me
neutral,bLooking for desktop twitter app that will actually let you access URLs any suggestions I liked Twittle but no linking
worry,bpeople in my house do not know how to close doors
surprise,bWhy am I completing facebook quizzes at this time of the morning especially a friday morning
neutral,bout with  amp  i am soooo hungry
worry,b I dont like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death
sadness,bHad to cancel wow for now
worry,bwants to make a music profile but i dont have money i dont know how to write music i dont know how to play an instrument and no studio
sadness,b But yeahIm sad about my quotRavenclawquot account I love that account to bits
worry,bIts  AM and I hear a helicopter flying over my house Thats kind of weird In other news my headache is back BOOOOO
worry,b oh no  i am always here  lt
neutral,bback from school Ms Suhanas last day as our FT  OCU was okay Im playing ALTNOY over and over again
neutral,b poll  was trying to get it to work in a powerpoint to no avail
happiness,btook a math test today The day before the test the teacher says bring your calculator Luke was confident Teacher decided no calcs
happiness,bomg the concert was awesome madrigals gave me chills on almost every piecebrooks also called up alumni but i didnt get to go
neutral,b yeah its terrible  cockatoos are the hardest to live with so emotional good thing he found you though
sadness,bUp late with nothin  do
worry,bi think the vog is making me sicker than i think feeling slightly achy
worry,bi am doing homework it sux big time maths is the worst
neutral,b would have been better IMO if it let you play through all  songs provided I just start to quotget itquot and it blacks out
neutral,bwordsaftersex it never started
sadness,bsometimes i wish things could go back to the way they were the beginning of last summer
worry,bI downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets but no they didnt
sadness,b I feel the same way but I guess no matter where you are there will always be memes
happiness,bI Cant do  minutes of Treadmill  but done  minutes for today already gonna do  minutes more
worry,bim sooooooooooooo confused
neutral,bWith friends like VaikONedumaran LTTE didnt need enemies Wrong advice at wrong time led to numerous deaths amp a lost cause as well
worry,bWork day  of 
happiness,bChillin with the roomies Cant wait for the zombie CLWN CR Its gonna be  weeks
neutral,bI looove guitars and playing them I think they sound magnificent If only i was better If only
worry,b No refunds but they do retrieve accounts takes like a week Just hoping the thief doesnt use hacks or then its permaban
neutral,b no im not  cries LOL
sadness,bCute Malay girl came to seemy room for rent  sadly think it was for her guyfreind   bit misleading and disappointing LOL
surprise,b EpiCentre Wheelock Place  units amp for tourists only Starting today
hate,bI hate the new mt dew commercialthe one with a giant mosquitoit scares me and grosses me out all at the same time
neutral,bCome on Knight Its been well over  hours
worry,bnot super keen on the drive home through the rain additional concentration required that i dont really wanna deal with
surprise,b aw u cant let me in on the secret
surprise,b Im sorry  I dont think I stick out at least compared to what I used to look like
worry,bno transport for church  wont be making it im crushed Oh well more time for assignments I suppose My throat really hurts 
hate,bi HATE when i see pregnant women smokinggg its sooo irresponsible n selfish its saaad ultimately the baby is the one who suffers
hate,bLiesliesliesyou just cant avoid to lie about practicallyEVERYTHING
neutral,btwittascope is NOT rocking my socks  go away already
neutral,bDriving Back home because I forgot the piece of cake for 
worry,b so I tried jumping without the trampoline and its like thud thud  shouldnt have eaten that cookie  
sadness,bEverytime I send an email to my coach I feel a need to practice   shitty balls  Lol
sadness,bIts pissing me off and not letting me follow ericka
sadness,bIs going to sleep not peaceful  wanted to hear him say Good Night but that didnt happen  Good Night everyone
sadness,bmy mums trying to make me feel ebtter about stopping voting adn not winning shortstack i almost cried
neutral,b i was so close to the tacosone spot too late
surprise,bis thinking so much and im at work
worry,bI have forgot the live with the Jonas Brothers on Facebook
sadness,bI havent seen Muffin in two whole days
sadness,b ill miss yall back give  my regards
surprise,bmy gap year is going so quick
worry,bI have to admit Im a bit bummed out that I wasnt with my friends walking today
neutral,b girl a blunt is soooooooo in my thoughts right now I had an absolutly GREAT day with a few stressorscome home
worry,bmy twitter has been hacked again
sadness,bJust found mj mouse flats at DJs Of course there are none left in my size
neutral,b i wont have time to buy  and i need a new binder pa
hate,b  hahaha well its try its so ugly
neutral,bman Ulduar is hard
worry,b I dont even want to know WHY you know about VHEMT but dont go  wed miss you
fun,b Thats awesome We have that this weekend too but I cant go because Im moving this Sat  I should be a lot of fun though
neutral,bnight night twitter world still cant believe the thomas thing  tomorrows gunna be FUNSAD
neutral,b this is happening to me too
surprise,b oh no  hugs
neutral,b bored now because i was talking to someone but now theyre busy with something else  just kinda a bummer idk
sadness,b i knoww  things wont be the samee lt
worry,bOMGness its  pm and I need to beup early to set up my garage sale it starts a am wish I said am Im beat
happiness,b i kno i doooo yall partyin with out me
worry,bOkay so twitter suddenly changed how do I respond to messages now
neutral,bugh my dad just told me to read an article about Kavya Shivashankar the spellin bee girland be more like her
worry,bDecided that no matter how good my hair looks curly it doesnt justify the burn I get from the curler My hands covered  I suck at it
sadness,bGoing to sleep Gonna fall asleep playing apps again Tmrw is going to suck
neutral,b  YEA     I GOTTA BE UP AT 
hate,bI hate when my bf beats da dogs But I guess that the only way to teach these pitts
worry,bsprained my ankle  like really badly and tore some stuffs it hurts and its my birthday weekend
sadness,bI cant believe the Metal Gear Solid song was stolen    Im so disappointed  
hate,bthink i may have broke a toe at the bar tonightthanks drunk girl for steppin all over me
neutral,bNot one sale done today at work Explored balconies in the big theater w coworkers A fun day but void of chili fries and tips
sadness,b  I wish I had Left  Dead But first Id need something to play it on
neutral,b me too
neutral,b that story reminds of living in Portugal
neutral,b  youre diabetic   so is my dad  amp i might be too not sure  are you still allowed to eat sugar throughout the day
happiness,bI spilled my beer all over my leg Wasted half my beer  Home now I met a cute girl Good conversation
hate,bmy roommate  loves to ignore me
neutral,b  Ill make him nachos tomorrow Better than if he would have made them himself
neutral,b yeahhh ampdont judge my pillow
relief,bScary lightning and thunder  Im glad its over now Going to sleep I hope Im not late to school tomorow again Haha
sadness,bmy teeth and head hurts
sadness,bI HATE rob zombie movies amp the smell of weed Vommmm
hate,b Maths and Science were the strongest for me i thinkdunno bout geography only did like  day of study for  a year of work
boredom,bWaiting in line  tryst
worry,bHope I get a job cuz we need an apartment Im drunk amp miss my lil punkin  TEHE
worry,bjust got home not wanting to read the last chaper of breaking dawn cause i dont want it to beover
worry,bI need to be held  Gnite
worry,bHanging out with sam billy and veronica not going to school tomorrow to take sam to body shops Dang car accidents
sadness,bno more arrested development i am sad
neutral,b  wicked  what time you leaving how come you cant stay the night
sadness,bomg i keep losing followers this is so sad  i want  one daythats my goal D
sadness,bI feel so deflated No more doggy
worry,b i wanna see her hair  hows everyone
sadness,bI just had to empty my trash on the mac that was one of THE MOST DIFFICULT things I have ever done in my life  pictures are GONE
sadness,bim contacting PAWS Philippines so i can find quottigerquot a new owner im so sad i love my dog soo much
sadness,bjust got home not wanting to read the last chaper of breaking dawn cause i dont want it to be over
worry,bAww  Pray for the arroyo family everyone
neutral,b theres a manual process but its taking ever on my outlook database pffff crappy msft product
sadness,bFuuudge Movie store is closed
sadness,bALO is so sad and quiet and empty tonight
hate,b Hahahaha Its not horrible if others were singing with Im sure it could work I wish I could afford my own drum set
worry,b You never answered your DM I sent you   I need your info
worry,bAm trying to get through the pilot of the first season of friday night lights Oh gosh  Pass the tissue
sadness,b Aw where are you headed to i just cancelled my trip to Aussie
worry,bI have cystic lacrimal infectection my eye and face are swollen and it hurts
worry,b I didnt think anyone caught that
neutral,bOH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE
neutral,blyin in bed up faaaaar too early
sadness,bSad that Christian Lacroix had to file bankruptcy
sadness,bI dont feel good AT ALL fuckkk
boredom,bwhy did i agree to work a double shift
worry,blooks like ill never go to the zoo
worry,b Ohh poor girl  Ill email her I am relying on you being here in October Mr
neutral,bWhen will Medhurst play again
worry,b bad times
hate,baarrgghh  fuka hose has leaked water all over the new floating floor
sadness,bHave to go to the dreaded DMV tomorrow
neutral,b Im a bit Bens Thaied out
happiness,benglish class working on interactive orals
worry,b Thank you for the rec but that doesnt work
neutral,b  Im sorry Excited for tomorrow night Karaoke Getting anything special for bday
worry,bMy puppy Gizmo hs me  haha He still growls  me  I always look back  my long pruple scar on my fingie
worry,bI dont know how ima work out tomorrow wit my body dis sore  ugh
neutral,bin   wo you
neutral,b Yeah plus its just a little too far to walk to Pinocchios for sushi
worry,bIm feeling this pressure in my head that always kicks in just before a nasty headache Im not looking forward to this
sadness,bTaylor Swift and Joe Jonas looked really good together Im kinda sad they broke up
worry,bIm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts
worry,bLady across the way had a miscarriage say a prayer
sadness,bGod I just want to sleep
hate,b ohhhh thunderstormsboo  why do they always have to make the power go out
worry,bI feel so deflated No more doggy
sadness,bFound my book Starting a real paperbound journal tonight Have an annoying zit above my lip Makes me look like I have herpes
hate,bRATT ROCKED NASHVILLE TONITEONE THING SUCKED NO ENCORE  LIKE IN THE S THEY STILL HAVE A FUN SHOW PEARCY HAS THAT HOTT BAD BOY LOOK
worry,bis feeling bad  just got bad news about my Mum
sadness,b But but I dun wanna
sadness,b damn girl Im so down but ya gotta let me know so I can get my kit together amp I got a flyer  Any next weekend IquotM DOWN
sadness,b dbl booooooo for being sick flippin blows  bahaha i kno i dont have many friends on here either i feel so lame  haha
neutral,b thats what i was thinking but the only time its gonna be on is  am
neutral,bPeeps still here Fun times Gotta sleep tho Work in the AM Some cool hot chicks here But none as cool as ____________ Missing her
worry,bdont feel like working  I think I tweet this too often
sadness,bfeels sick to my stomach and idkk whyy
worry,bvinerinimic special sau probabil un alt weekend pierdut
neutral,bCounting the hours of lost sunshine until the Weekend
surprise,b  dude i just saw your SF pics looks like your mini excursion was pretty kick ass didnt see any sun while i was there tho
relief,bis home  safely but hungry
sadness,b Um I was thrown from  van yesterday and had to be taken to the ER
worry,bgot to final table butwent out third  Dont think Ill be getting my free seat
neutral,bgood morning work this morning gutted lol nevermind
hate,bI have to work in the morning while my friends get to party it upstupid bberry lite flashing red and I have no messages
happiness,bFB is boring   and i wanna sing RIGHT NOW 
sadness,b  The link doesnt work
neutral,b hahaha I dont know anyone or anything about it except they have powers lol I live in my own bubble
worry,bThe humpalow um ya I think so Cell is dying
worry,bLast day at workSick to the bone
worry,bi feel like Im on house arrest
neutral,blove is like a wareasy to begin hard to endfiuuhh
surprise,b ur supposed to be in BK tho
worry,b Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers It is very sad
surprise,bOh no  Nighty night
happiness,b Must have new music I wont sleep until you give us Chapter  I might die first though  Hurry
sadness,bmy stupid tooooth hurts
love,b love the song quottogetherquot thats quothisquot song for mewell i think its still is
neutral,bReady To Go  School
sadness,b my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order
neutral,b Its good isnt it Our holiday chalet is out of sight but look v similar to those ones Going home again today
worry,bIts a sad economy Just heard of another friend losing their job  so sad But just a reminder that
worry,b Im just starting to feel really panicky and anxious that something bad has happened cos it seems like its been ages
worry,bmy dog ran awayyy
hate,b Those suck so bad
worry,bIm back top molar extracted  swollen face all numb  But no more toothache or sinus pain
relief,bjust finished  hours of Texas Life Insurance CE tonight  more hours to go
worry,bdoes anyone know any good rap songs i need to make a rapfun cd and i have no idea  helllllpppp
love,bI want to go to Peru this summer ahhhhhhh Hopefully Yesyesyes I miss it over there
sadness,bIm awake Anybody else awake Wish I lived in the US since all the fun happens when Im asleep
hate,bAt Charles with the power out LOL Damn SaveMart lost power and we could not buy beer
sadness,b heehee i love you i am tired
worry,bmy mobile phone refuses to charge  either the battery is broken or the chargerrr  booooo
worry,b oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something
worry,b hmmm I thought u were sleeping Too bad I cant see those videos until tomorrow night
sadness,bMorning everyone sorry for going early last night had bad news felt totally crap   Today is a new day
sadness,bhow I wish my parents put me into a Chinese school when I was younger Then itll be so much easier for me to get a job
relief,b  Yeah physically moving too  Apparently well be reporting directly to Mr Hayward
neutral,b airport and you didnt show up tonight homo
worry,b jealous  it looks like schindlers list in toronto
enthusiasm,bI want another tatt
neutral,b what Come as you are But erock just left  bah D
enthusiasm,bSo I need to make a lot of money tomorrow
sadness,b  being in your room makes me sad
worry,bNearly fell asleep but was jolted out of bed by a massive panic attack and now Im not sure if I can sleep at all
neutral,bfor the gays i only made  tonight
sadness,b oh fck I completely forgot about Thirsty Thursday oh my gaga this sucks
sadness,bif one people did any wrong the world blames all the people over there this is the great world which we are living in  Shit
surprise,b nope  they are all sleeping cuz they live on the east coast
neutral,b I bet its cool down in SR huh Its not here I havent stopped sweating since noon when dad and I were packing
sadness,b eww dislike
worry,bTactical mistake going to the city library and buying milk Who knew OUCH OUCH OUCH Maybe a good thing I didnt try for uni
neutral,bdecided  trans frm relaxed  natural hair but i wish my whole head looked like my roots  Age of the instant gratification
sadness,b sorry bout the cat
neutral,bneeds to have an increase on her salary  
worry,bmy stomach feels like its touching the groundim SO full
love,bPug just woke me from an incredible sleep
love,b i cant wait to hear your new album im sure will be amazingplease just replay to me  i love you so much
worry,bSooo much work so little time
sadness,bmissed iron chef
sadness,b the DS version sucks
sadness,bwhat a bad day
enthusiasm,b i know ridiculous we never got to hang out  i love chicago and want to go shopping so a trip sounds like fun
hate,bhates the net ayaw bumukas ng twitter  
worry,bUgh my internet was down
surprise,bomg i didnt tweet all that much today sadness
worry,bis feeling so giddy and wanna go home
neutral,bthe week just wasnt the same without an adam lambert performance
neutral,b The link doesnt work
worry,bUp and packing Its the last day of youth camp
neutral,bGOSSIP GIRL WHEN ARE YOU COMING BACK   chaceeeeeee
neutral,bSmh  hiphop nursery rhymes
worry,bSomebody please save the polar bears
happiness,b noooooooooooo i just look at a lot of pictures   lol lol
surprise,b Not really sleepy bored is the right word  again not much work
worry,bIt has come to my attention from a yo friend that Ive recently gained a TON of weight He didnt know it was me
worry,bguess im staying home tonightno movieing for me
sadness,bwent to the cd store to search for the cd But
worry,b reminds me of the weather a month ago it was horrible  I hope all is well hugs
sadness,bI miss my mom  quotMay angels lead you inquot
love,btheres really no android twitter app of Tweeties calibre
hate,bon jacksonville beach walking in the cold Ass water   but have to work in the morning   ily ltgt
neutral,b No its not
sadness,b i feel the same way every day
sadness,bCant sleep Sucks The one day i have to sleep in and i have to get up and go shopping with mom Ugh
neutral,b well i just got home and its not on till tmw at p but with comcast its on right now  but i didnt miss it
sadness,bSleppytime Really missing my godfather right now Love you Wayne
sadness,bSo have a headache right now and it sucks
worry,b hope ya sleepin well  guys still here
fun,bi should be finished but im not  color drawing here i come
sadness,b Lakers baby Lakers Ill miss the game tmwr I have to work  youll have to keep me posted please
sadness,bcomfort food of the day pan mee though it didnt taste any good
worry,bdamn being drunk and hot sucks
sadness,bmisses my baby
worry,bis not sleeping because he has paperwork to do
worry,bShowered in icecold water Sweating now Means one thing Im sick
worry,bmidnight cry wish the person I wanted wanted me right now
neutral,b Ima need you to follow me real quick cause I cant DM you
sadness,bIm poorly and cant sleep
worry,bWent to pole class Feeling discouraged I am hopeless when it cones to dancing or sexy moves or spreading my legs
worry,b And these poor unfortunate souls dont appear to have any pants at all   
worry,b  If I told you how often I wash my hair you would never speak to me again
worry,bLooks like another sleepless night dedicated to homework Sorry in advance Ms Chapman
worry,b    WHY DO U LOT MOCK ME
worry,bdidnt say goodnight to you
hate,b  I am not a pussy damnit  sending you an email right now btw
sadness,bhas work tom
neutral,bIn the Hongkong International Airport Has to wait for  hours for our next flight to Cebu
neutral,bCant sleep and nothings on tv
love,bThe pics I just uploaded are the baby pics of my cats Missy is now an adult and a pretty little kitty but Batty is in kitten heaven now
neutral,b oh  youve been superseeded  not good enough
sadness,btoday we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and Im definately NOT working this pm
anger,bfuckinm transtelecom
boredom,bis really really bored I guess I will go to bed
worry,b I met a stranger just  min ago He was stalking me at the store
surprise,b  tee we beefinwhat was u supposed to do before leavin
